Date,Room,Age Group,Time,Num_Children,Ratio,Staff_Needed
2022-08-02,Henry Toddlers,Toddler,12:00:00,1,6,2
2022-08-02,Henry Toddlers,Toddler,12:30:00,1,6,2
2022-08-02,Henry Toddlers,Toddler,13:00:00,1,6,2
2022-08-02,Henry Toddlers,Toddler,13:30:00,1,6,2
2022-08-02,Henry Toddlers,Toddler,14:00:00,1,6,2
2022-08-02,Henry Toddlers,Toddler,14:30:00,1,6,2
2022-08-02,Henry Toddlers,Toddler,15:00:00,1,6,2
2022-08-02,Henry Toddlers,Toddler,15:30:00,1,6,2
2022-08-02,Pennie Preschool 1,Preschool,07:30:00,2,10,2
2022-08-02,Pennie Preschool 1,Preschool,08:00:00,4,10,2
2022-08-02,Pennie Preschool 1,Preschool,08:30:00,4,10,2
2022-08-02,Pennie Preschool 1,Preschool,09:00:00,4,10,2
2022-08-02,Pennie Preschool 1,Preschool,09:30:00,4,10,2
2022-08-02,Pennie Preschool 1,Preschool,10:00:00,4,10,2
2022-08-02,Pennie Preschool 1,Preschool,10:30:00,4,10,2
2022-08-02,Pennie Preschool 1,Preschool,11:00:00,4,10,2
2022-08-02,Pennie Preschool 1,Preschool,11:30:00,4,10,2
2022-08-02,Pennie Preschool 1,Preschool,12:00:00,4,10,2
2022-08-02,Pennie Preschool 1,Preschool,12:30:00,4,10,2
2022-08-02,Pennie Preschool 1,Preschool,13:00:00,4,10,2
2022-08-02,Pennie Preschool 1,Preschool,13:30:00,4,10,2
2022-08-02,Pennie Preschool 1,Preschool,14:00:00,4,10,2
2022-08-02,Pennie Preschool 1,Preschool,14:30:00,4,10,2
2022-08-02,Pennie Preschool 1,Preschool,15:00:00,4,10,2
2022-08-02,Pennie Preschool 1,Preschool,15:30:00,4,10,2
2022-08-02,Pennie Preschool 1,Preschool,16:00:00,4,10,2
2022-08-02,Pennie Preschool 1,Preschool,16:30:00,4,10,2
2022-08-02,Pennie Preschool 1,Preschool,17:00:00,1,10,2
2022-08-02,Pre-K1,Pre-K,07:30:00,2,12,2
2022-08-02,Pre-K1,Pre-K,08:00:00,2,12,2
2022-08-02,Pre-K1,Pre-K,08:30:00,2,12,2
2022-08-02,Pre-K1,Pre-K,09:00:00,3,12,2
2022-08-02,Pre-K1,Pre-K,09:30:00,3,12,2
2022-08-02,Pre-K1,Pre-K,10:00:00,3,12,2
2022-08-02,Pre-K1,Pre-K,10:30:00,3,12,2
2022-08-02,Pre-K1,Pre-K,11:00:00,3,12,2
2022-08-02,Pre-K1,Pre-K,11:30:00,3,12,2
2022-08-02,Pre-K1,Pre-K,12:00:00,3,12,2
2022-08-02,Pre-K1,Pre-K,12:30:00,3,12,2
2022-08-02,Pre-K1,Pre-K,13:00:00,3,12,2
2022-08-02,Pre-K1,Pre-K,13:30:00,3,12,2
2022-08-02,Pre-K1,Pre-K,14:00:00,3,12,2
2022-08-02,Pre-K1,Pre-K,14:30:00,3,12,2
2022-08-02,Pre-K1,Pre-K,15:00:00,3,12,2
2022-08-02,Pre-K1,Pre-K,15:30:00,3,12,2
2022-08-02,Pre-K1,Pre-K,16:00:00,2,12,2
2022-08-02,Pre-K1,Pre-K,16:30:00,2,12,2
2022-08-02,Pre-K1,Pre-K,17:00:00,1,12,2
2022-08-02,Pre-K2,Pre-K,07:30:00,1,12,2
2022-08-02,Pre-K2,Pre-K,08:00:00,5,12,2
2022-08-02,Pre-K2,Pre-K,08:30:00,6,12,2
2022-08-02,Pre-K2,Pre-K,09:00:00,6,12,2
2022-08-02,Pre-K2,Pre-K,09:30:00,6,12,2
2022-08-02,Pre-K2,Pre-K,10:00:00,6,12,2
2022-08-02,Pre-K2,Pre-K,10:30:00,6,12,2
2022-08-02,Pre-K2,Pre-K,11:00:00,6,12,2
2022-08-02,Pre-K2,Pre-K,11:30:00,6,12,2
2022-08-02,Pre-K2,Pre-K,12:00:00,6,12,2
2022-08-02,Pre-K2,Pre-K,12:30:00,6,12,2
2022-08-02,Pre-K2,Pre-K,13:00:00,6,12,2
2022-08-02,Pre-K2,Pre-K,13:30:00,6,12,2
2022-08-02,Pre-K2,Pre-K,14:00:00,5,12,2
2022-08-02,Pre-K2,Pre-K,14:30:00,5,12,2
2022-08-02,Pre-K2,Pre-K,15:00:00,5,12,2
2022-08-02,Pre-K2,Pre-K,15:30:00,5,12,2
2022-08-02,Pre-K2,Pre-K,16:00:00,5,12,2
2022-08-02,Pre-K2,Pre-K,16:30:00,4,12,2
2022-08-02,Pre-K2,Pre-K,17:00:00,1,12,2
2022-08-03,Grampy Tom Preschool,Preschool,07:30:00,3,10,2
2022-08-03,Grampy Tom Preschool,Preschool,08:00:00,4,10,2
2022-08-03,Grampy Tom Preschool,Preschool,08:30:00,5,10,2
2022-08-03,Grampy Tom Preschool,Preschool,09:00:00,5,10,2
2022-08-03,Grampy Tom Preschool,Preschool,09:30:00,5,10,2
2022-08-03,Grampy Tom Preschool,Preschool,10:00:00,5,10,2
2022-08-03,Grampy Tom Preschool,Preschool,10:30:00,5,10,2
2022-08-03,Grampy Tom Preschool,Preschool,11:00:00,5,10,2
2022-08-03,Grampy Tom Preschool,Preschool,11:30:00,5,10,2
2022-08-03,Grampy Tom Preschool,Preschool,12:00:00,5,10,2
2022-08-03,Grampy Tom Preschool,Preschool,12:30:00,5,10,2
2022-08-03,Grampy Tom Preschool,Preschool,13:00:00,5,10,2
2022-08-03,Grampy Tom Preschool,Preschool,13:30:00,5,10,2
2022-08-03,Grampy Tom Preschool,Preschool,14:00:00,5,10,2
2022-08-03,Grampy Tom Preschool,Preschool,14:30:00,5,10,2
2022-08-03,Grampy Tom Preschool,Preschool,15:00:00,5,10,2
2022-08-03,Grampy Tom Preschool,Preschool,15:30:00,5,10,2
2022-08-03,Grampy Tom Preschool,Preschool,16:00:00,5,10,2
2022-08-03,Grampy Tom Preschool,Preschool,16:30:00,5,10,2
2022-08-03,Grampy Tom Preschool,Preschool,17:00:00,2,10,2
2022-08-03,Henry Toddlers,Toddler,08:30:00,1,6,2
2022-08-03,Henry Toddlers,Toddler,09:00:00,1,6,2
2022-08-03,Henry Toddlers,Toddler,09:30:00,1,6,2
2022-08-03,Henry Toddlers,Toddler,10:00:00,1,6,2
2022-08-03,Henry Toddlers,Toddler,10:30:00,1,6,2
2022-08-03,Henry Toddlers,Toddler,11:00:00,1,6,2
2022-08-03,Henry Toddlers,Toddler,11:30:00,1,6,2
2022-08-03,Henry Toddlers,Toddler,12:00:00,1,6,2
2022-08-03,Henry Toddlers,Toddler,12:30:00,1,6,2
2022-08-03,Henry Toddlers,Toddler,13:00:00,1,6,2
2022-08-03,Henry Toddlers,Toddler,13:30:00,1,6,2
2022-08-03,Henry Toddlers,Toddler,14:00:00,1,6,2
2022-08-03,Henry Toddlers,Toddler,14:30:00,1,6,2
2022-08-03,Henry Toddlers,Toddler,15:00:00,1,6,2
2022-08-03,Henry Toddlers,Toddler,15:30:00,1,6,2
2022-08-03,Pennie Preschool 1,Preschool,07:30:00,1,10,2
2022-08-03,Pennie Preschool 1,Preschool,08:00:00,2,10,2
2022-08-03,Pennie Preschool 1,Preschool,08:30:00,2,10,2
2022-08-03,Pennie Preschool 1,Preschool,09:00:00,2,10,2
2022-08-03,Pennie Preschool 1,Preschool,09:30:00,2,10,2
2022-08-03,Pennie Preschool 1,Preschool,10:00:00,2,10,2
2022-08-03,Pennie Preschool 1,Preschool,10:30:00,2,10,2
2022-08-03,Pennie Preschool 1,Preschool,11:00:00,2,10,2
2022-08-03,Pennie Preschool 1,Preschool,11:30:00,2,10,2
2022-08-03,Pennie Preschool 1,Preschool,12:00:00,2,10,2
2022-08-03,Pennie Preschool 1,Preschool,12:30:00,2,10,2
2022-08-03,Pennie Preschool 1,Preschool,13:00:00,2,10,2
2022-08-03,Pennie Preschool 1,Preschool,13:30:00,2,10,2
2022-08-03,Pennie Preschool 1,Preschool,14:00:00,2,10,2
2022-08-03,Pennie Preschool 1,Preschool,14:30:00,2,10,2
2022-08-03,Pennie Preschool 1,Preschool,15:00:00,1,10,2
2022-08-03,Pennie Preschool 1,Preschool,15:30:00,1,10,2
2022-08-03,Pennie Preschool 1,Preschool,16:00:00,1,10,2
2022-08-03,Pennie Preschool 1,Preschool,16:30:00,1,10,2
2022-08-03,Pennie Preschool 1,Preschool,17:00:00,1,10,2
2022-08-03,Pre-K1,Pre-K,07:30:00,1,12,2
2022-08-03,Pre-K1,Pre-K,08:00:00,3,12,2
2022-08-03,Pre-K1,Pre-K,08:30:00,4,12,2
2022-08-03,Pre-K1,Pre-K,09:00:00,4,12,2
2022-08-03,Pre-K1,Pre-K,09:30:00,4,12,2
2022-08-03,Pre-K1,Pre-K,10:00:00,4,12,2
2022-08-03,Pre-K1,Pre-K,10:30:00,4,12,2
2022-08-03,Pre-K1,Pre-K,11:00:00,4,12,2
2022-08-03,Pre-K1,Pre-K,11:30:00,4,12,2
2022-08-03,Pre-K1,Pre-K,12:00:00,4,12,2
2022-08-03,Pre-K1,Pre-K,12:30:00,4,12,2
2022-08-03,Pre-K1,Pre-K,13:00:00,3,12,2
2022-08-03,Pre-K1,Pre-K,13:30:00,3,12,2
2022-08-03,Pre-K1,Pre-K,14:00:00,3,12,2
2022-08-03,Pre-K1,Pre-K,14:30:00,3,12,2
2022-08-03,Pre-K1,Pre-K,15:00:00,3,12,2
2022-08-03,Pre-K1,Pre-K,15:30:00,3,12,2
2022-08-03,Pre-K1,Pre-K,16:00:00,2,12,2
2022-08-03,Pre-K1,Pre-K,16:30:00,2,12,2
2022-08-03,Pre-K1,Pre-K,17:00:00,1,12,2
2022-08-03,Pre-K2,Pre-K,07:30:00,2,12,2
2022-08-03,Pre-K2,Pre-K,08:00:00,4,12,2
2022-08-03,Pre-K2,Pre-K,08:30:00,5,12,2
2022-08-03,Pre-K2,Pre-K,09:00:00,6,12,2
2022-08-03,Pre-K2,Pre-K,09:30:00,6,12,2
2022-08-03,Pre-K2,Pre-K,10:00:00,6,12,2
2022-08-03,Pre-K2,Pre-K,10:30:00,6,12,2
2022-08-03,Pre-K2,Pre-K,11:00:00,6,12,2
2022-08-03,Pre-K2,Pre-K,11:30:00,6,12,2
2022-08-03,Pre-K2,Pre-K,12:00:00,6,12,2
2022-08-03,Pre-K2,Pre-K,12:30:00,6,12,2
2022-08-03,Pre-K2,Pre-K,13:00:00,6,12,2
2022-08-03,Pre-K2,Pre-K,13:30:00,6,12,2
2022-08-03,Pre-K2,Pre-K,14:00:00,6,12,2
2022-08-03,Pre-K2,Pre-K,14:30:00,6,12,2
2022-08-03,Pre-K2,Pre-K,15:00:00,6,12,2
2022-08-03,Pre-K2,Pre-K,15:30:00,6,12,2
2022-08-03,Pre-K2,Pre-K,16:00:00,6,12,2
2022-08-03,Pre-K2,Pre-K,16:30:00,5,12,2
2022-08-03,Pre-K2,Pre-K,17:00:00,5,12,2
2022-08-04,Grampy Tom Preschool,Preschool,07:30:00,3,10,2
2022-08-04,Grampy Tom Preschool,Preschool,08:00:00,5,10,2
2022-08-04,Grampy Tom Preschool,Preschool,08:30:00,5,10,2
2022-08-04,Grampy Tom Preschool,Preschool,09:00:00,6,10,2
2022-08-04,Grampy Tom Preschool,Preschool,09:30:00,6,10,2
2022-08-04,Grampy Tom Preschool,Preschool,10:00:00,6,10,2
2022-08-04,Grampy Tom Preschool,Preschool,10:30:00,6,10,2
2022-08-04,Grampy Tom Preschool,Preschool,11:00:00,6,10,2
2022-08-04,Grampy Tom Preschool,Preschool,11:30:00,6,10,2
2022-08-04,Grampy Tom Preschool,Preschool,12:00:00,6,10,2
2022-08-04,Grampy Tom Preschool,Preschool,12:30:00,6,10,2
2022-08-04,Grampy Tom Preschool,Preschool,13:00:00,6,10,2
2022-08-04,Grampy Tom Preschool,Preschool,13:30:00,6,10,2
2022-08-04,Grampy Tom Preschool,Preschool,14:00:00,6,10,2
2022-08-04,Grampy Tom Preschool,Preschool,14:30:00,6,10,2
2022-08-04,Grampy Tom Preschool,Preschool,15:00:00,6,10,2
2022-08-04,Grampy Tom Preschool,Preschool,15:30:00,5,10,2
2022-08-04,Grampy Tom Preschool,Preschool,16:00:00,5,10,2
2022-08-04,Grampy Tom Preschool,Preschool,16:30:00,5,10,2
2022-08-04,Grampy Tom Preschool,Preschool,17:00:00,5,10,2
2022-08-04,Henry Toddlers,Toddler,08:30:00,1,6,2
2022-08-04,Henry Toddlers,Toddler,09:00:00,1,6,2
2022-08-04,Henry Toddlers,Toddler,09:30:00,1,6,2
2022-08-04,Henry Toddlers,Toddler,10:00:00,1,6,2
2022-08-04,Henry Toddlers,Toddler,10:30:00,1,6,2
2022-08-04,Henry Toddlers,Toddler,11:00:00,1,6,2
2022-08-04,Henry Toddlers,Toddler,11:30:00,1,6,2
2022-08-04,Henry Toddlers,Toddler,12:00:00,1,6,2
2022-08-04,Henry Toddlers,Toddler,12:30:00,1,6,2
2022-08-04,Henry Toddlers,Toddler,13:00:00,1,6,2
2022-08-04,Henry Toddlers,Toddler,13:30:00,1,6,2
2022-08-04,Henry Toddlers,Toddler,14:00:00,1,6,2
2022-08-04,Henry Toddlers,Toddler,14:30:00,1,6,2
2022-08-04,Henry Toddlers,Toddler,15:00:00,1,6,2
2022-08-04,Henry Toddlers,Toddler,15:30:00,1,6,2
2022-08-04,Henry Toddlers,Toddler,16:00:00,1,6,2
2022-08-04,Pennie Preschool 1,Preschool,07:00:00,1,10,2
2022-08-04,Pennie Preschool 1,Preschool,07:30:00,1,10,2
2022-08-04,Pennie Preschool 1,Preschool,08:00:00,3,10,2
2022-08-04,Pennie Preschool 1,Preschool,08:30:00,3,10,2
2022-08-04,Pennie Preschool 1,Preschool,09:00:00,3,10,2
2022-08-04,Pennie Preschool 1,Preschool,09:30:00,3,10,2
2022-08-04,Pennie Preschool 1,Preschool,10:00:00,3,10,2
2022-08-04,Pennie Preschool 1,Preschool,10:30:00,3,10,2
2022-08-04,Pennie Preschool 1,Preschool,11:00:00,3,10,2
2022-08-04,Pennie Preschool 1,Preschool,11:30:00,3,10,2
2022-08-04,Pennie Preschool 1,Preschool,12:00:00,3,10,2
2022-08-04,Pennie Preschool 1,Preschool,12:30:00,3,10,2
2022-08-04,Pennie Preschool 1,Preschool,13:00:00,3,10,2
2022-08-04,Pennie Preschool 1,Preschool,13:30:00,3,10,2
2022-08-04,Pennie Preschool 1,Preschool,14:00:00,3,10,2
2022-08-04,Pennie Preschool 1,Preschool,14:30:00,3,10,2
2022-08-04,Pennie Preschool 1,Preschool,15:00:00,3,10,2
2022-08-04,Pennie Preschool 1,Preschool,15:30:00,3,10,2
2022-08-04,Pennie Preschool 1,Preschool,16:00:00,3,10,2
2022-08-04,Pennie Preschool 1,Preschool,16:30:00,3,10,2
2022-08-04,Pennie Preschool 1,Preschool,17:00:00,2,10,2
2022-08-04,Pre-K1,Pre-K,08:30:00,2,12,2
2022-08-04,Pre-K1,Pre-K,09:00:00,4,12,2
2022-08-04,Pre-K1,Pre-K,09:30:00,4,12,2
2022-08-04,Pre-K1,Pre-K,10:00:00,4,12,2
2022-08-04,Pre-K1,Pre-K,10:30:00,4,12,2
2022-08-04,Pre-K1,Pre-K,11:00:00,4,12,2
2022-08-04,Pre-K1,Pre-K,11:30:00,4,12,2
2022-08-04,Pre-K1,Pre-K,12:00:00,4,12,2
2022-08-04,Pre-K1,Pre-K,12:30:00,4,12,2
2022-08-04,Pre-K1,Pre-K,13:00:00,4,12,2
2022-08-04,Pre-K1,Pre-K,13:30:00,4,12,2
2022-08-04,Pre-K1,Pre-K,14:00:00,4,12,2
2022-08-04,Pre-K1,Pre-K,14:30:00,4,12,2
2022-08-04,Pre-K1,Pre-K,15:00:00,4,12,2
2022-08-04,Pre-K1,Pre-K,15:30:00,4,12,2
2022-08-04,Pre-K1,Pre-K,16:00:00,4,12,2
2022-08-04,Pre-K1,Pre-K,16:30:00,2,12,2
2022-08-04,Pre-K1,Pre-K,17:00:00,1,12,2
2022-08-04,Pre-K2,Pre-K,07:00:00,1,12,2
2022-08-04,Pre-K2,Pre-K,07:30:00,1,12,2
2022-08-04,Pre-K2,Pre-K,08:00:00,3,12,2
2022-08-04,Pre-K2,Pre-K,08:30:00,5,12,2
2022-08-04,Pre-K2,Pre-K,09:00:00,5,12,2
2022-08-04,Pre-K2,Pre-K,09:30:00,5,12,2
2022-08-04,Pre-K2,Pre-K,10:00:00,5,12,2
2022-08-04,Pre-K2,Pre-K,10:30:00,5,12,2
2022-08-04,Pre-K2,Pre-K,11:00:00,5,12,2
2022-08-04,Pre-K2,Pre-K,11:30:00,5,12,2
2022-08-04,Pre-K2,Pre-K,12:00:00,5,12,2
2022-08-04,Pre-K2,Pre-K,12:30:00,5,12,2
2022-08-04,Pre-K2,Pre-K,13:00:00,5,12,2
2022-08-04,Pre-K2,Pre-K,13:30:00,5,12,2
2022-08-04,Pre-K2,Pre-K,14:00:00,5,12,2
2022-08-04,Pre-K2,Pre-K,14:30:00,5,12,2
2022-08-04,Pre-K2,Pre-K,15:00:00,5,12,2
2022-08-04,Pre-K2,Pre-K,15:30:00,5,12,2
2022-08-04,Pre-K2,Pre-K,16:00:00,5,12,2
2022-08-04,Pre-K2,Pre-K,16:30:00,5,12,2
2022-08-04,Pre-K2,Pre-K,17:00:00,2,12,2
2022-08-04,Pre-K2,Pre-K,17:30:00,1,12,2
2022-08-05,Grampy Tom Preschool,Preschool,07:30:00,3,10,2
2022-08-05,Grampy Tom Preschool,Preschool,08:00:00,4,10,2
2022-08-05,Grampy Tom Preschool,Preschool,08:30:00,5,10,2
2022-08-05,Grampy Tom Preschool,Preschool,09:00:00,6,10,2
2022-08-05,Grampy Tom Preschool,Preschool,09:30:00,6,10,2
2022-08-05,Grampy Tom Preschool,Preschool,10:00:00,6,10,2
2022-08-05,Grampy Tom Preschool,Preschool,10:30:00,6,10,2
2022-08-05,Grampy Tom Preschool,Preschool,11:00:00,6,10,2
2022-08-05,Grampy Tom Preschool,Preschool,11:30:00,6,10,2
2022-08-05,Grampy Tom Preschool,Preschool,12:00:00,6,10,2
2022-08-05,Grampy Tom Preschool,Preschool,12:30:00,6,10,2
2022-08-05,Grampy Tom Preschool,Preschool,13:00:00,6,10,2
2022-08-05,Grampy Tom Preschool,Preschool,13:30:00,6,10,2
2022-08-05,Grampy Tom Preschool,Preschool,14:00:00,6,10,2
2022-08-05,Grampy Tom Preschool,Preschool,14:30:00,6,10,2
2022-08-05,Grampy Tom Preschool,Preschool,15:00:00,6,10,2
2022-08-05,Grampy Tom Preschool,Preschool,15:30:00,5,10,2
2022-08-05,Grampy Tom Preschool,Preschool,16:00:00,4,10,2
2022-08-05,Grampy Tom Preschool,Preschool,16:30:00,3,10,2
2022-08-05,Grampy Tom Preschool,Preschool,17:00:00,3,10,2
2022-08-05,Pennie Preschool 1,Preschool,07:00:00,1,10,2
2022-08-05,Pennie Preschool 1,Preschool,07:30:00,2,10,2
2022-08-05,Pennie Preschool 1,Preschool,08:00:00,4,10,2
2022-08-05,Pennie Preschool 1,Preschool,08:30:00,4,10,2
2022-08-05,Pennie Preschool 1,Preschool,09:00:00,4,10,2
2022-08-05,Pennie Preschool 1,Preschool,09:30:00,4,10,2
2022-08-05,Pennie Preschool 1,Preschool,10:00:00,4,10,2
2022-08-05,Pennie Preschool 1,Preschool,10:30:00,4,10,2
2022-08-05,Pennie Preschool 1,Preschool,11:00:00,4,10,2
2022-08-05,Pennie Preschool 1,Preschool,11:30:00,4,10,2
2022-08-05,Pennie Preschool 1,Preschool,12:00:00,4,10,2
2022-08-05,Pennie Preschool 1,Preschool,12:30:00,4,10,2
2022-08-05,Pennie Preschool 1,Preschool,13:00:00,4,10,2
2022-08-05,Pennie Preschool 1,Preschool,13:30:00,4,10,2
2022-08-05,Pennie Preschool 1,Preschool,14:00:00,4,10,2
2022-08-05,Pennie Preschool 1,Preschool,14:30:00,4,10,2
2022-08-05,Pennie Preschool 1,Preschool,15:00:00,4,10,2
2022-08-05,Pennie Preschool 1,Preschool,15:30:00,4,10,2
2022-08-05,Pennie Preschool 1,Preschool,16:00:00,2,10,2
2022-08-05,Pennie Preschool 1,Preschool,16:30:00,2,10,2
2022-08-05,Pennie Preschool 1,Preschool,17:00:00,1,10,2
2022-08-05,Pre-K1,Pre-K,07:30:00,1,12,2
2022-08-05,Pre-K1,Pre-K,08:00:00,3,12,2
2022-08-05,Pre-K1,Pre-K,08:30:00,4,12,2
2022-08-05,Pre-K1,Pre-K,09:00:00,5,12,2
2022-08-05,Pre-K1,Pre-K,09:30:00,5,12,2
2022-08-05,Pre-K1,Pre-K,10:00:00,5,12,2
2022-08-05,Pre-K1,Pre-K,10:30:00,5,12,2
2022-08-05,Pre-K1,Pre-K,11:00:00,5,12,2
2022-08-05,Pre-K1,Pre-K,11:30:00,5,12,2
2022-08-05,Pre-K1,Pre-K,12:00:00,5,12,2
2022-08-05,Pre-K1,Pre-K,12:30:00,5,12,2
2022-08-05,Pre-K1,Pre-K,13:00:00,5,12,2
2022-08-05,Pre-K1,Pre-K,13:30:00,5,12,2
2022-08-05,Pre-K1,Pre-K,14:00:00,5,12,2
2022-08-05,Pre-K1,Pre-K,14:30:00,5,12,2
2022-08-05,Pre-K1,Pre-K,15:00:00,5,12,2
2022-08-05,Pre-K1,Pre-K,15:30:00,3,12,2
2022-08-05,Pre-K1,Pre-K,16:00:00,3,12,2
2022-08-05,Pre-K1,Pre-K,16:30:00,2,12,2
2022-08-05,Pre-K1,Pre-K,17:00:00,1,12,2
2022-08-05,Pre-K2,Pre-K,07:30:00,2,12,2
2022-08-05,Pre-K2,Pre-K,08:00:00,6,12,2
2022-08-05,Pre-K2,Pre-K,08:30:00,6,12,2
2022-08-05,Pre-K2,Pre-K,09:00:00,6,12,2
2022-08-05,Pre-K2,Pre-K,09:30:00,6,12,2
2022-08-05,Pre-K2,Pre-K,10:00:00,6,12,2
2022-08-05,Pre-K2,Pre-K,10:30:00,6,12,2
2022-08-05,Pre-K2,Pre-K,11:00:00,6,12,2
2022-08-05,Pre-K2,Pre-K,11:30:00,6,12,2
2022-08-05,Pre-K2,Pre-K,12:00:00,6,12,2
2022-08-05,Pre-K2,Pre-K,12:30:00,6,12,2
2022-08-05,Pre-K2,Pre-K,13:00:00,6,12,2
2022-08-05,Pre-K2,Pre-K,13:30:00,6,12,2
2022-08-05,Pre-K2,Pre-K,14:00:00,6,12,2
2022-08-05,Pre-K2,Pre-K,14:30:00,6,12,2
2022-08-05,Pre-K2,Pre-K,15:00:00,6,12,2
2022-08-05,Pre-K2,Pre-K,15:30:00,6,12,2
2022-08-05,Pre-K2,Pre-K,16:00:00,6,12,2
2022-08-05,Pre-K2,Pre-K,16:30:00,4,12,2
2022-08-05,Pre-K2,Pre-K,17:00:00,2,12,2
2022-08-08,Grampy Tom Preschool,Preschool,07:30:00,3,10,2
2022-08-08,Grampy Tom Preschool,Preschool,08:00:00,5,10,2
2022-08-08,Grampy Tom Preschool,Preschool,08:30:00,5,10,2
2022-08-08,Grampy Tom Preschool,Preschool,09:00:00,5,10,2
2022-08-08,Grampy Tom Preschool,Preschool,09:30:00,6,10,2
2022-08-08,Grampy Tom Preschool,Preschool,10:00:00,6,10,2
2022-08-08,Grampy Tom Preschool,Preschool,10:30:00,7,10,2
2022-08-08,Grampy Tom Preschool,Preschool,11:00:00,7,10,2
2022-08-08,Grampy Tom Preschool,Preschool,11:30:00,7,10,2
2022-08-08,Grampy Tom Preschool,Preschool,12:00:00,7,10,2
2022-08-08,Grampy Tom Preschool,Preschool,12:30:00,7,10,2
2022-08-08,Grampy Tom Preschool,Preschool,13:00:00,7,10,2
2022-08-08,Grampy Tom Preschool,Preschool,13:30:00,7,10,2
2022-08-08,Grampy Tom Preschool,Preschool,14:00:00,7,10,2
2022-08-08,Grampy Tom Preschool,Preschool,14:30:00,7,10,2
2022-08-08,Grampy Tom Preschool,Preschool,15:00:00,7,10,2
2022-08-08,Grampy Tom Preschool,Preschool,15:30:00,7,10,2
2022-08-08,Grampy Tom Preschool,Preschool,16:00:00,7,10,2
2022-08-08,Grampy Tom Preschool,Preschool,16:30:00,7,10,2
2022-08-08,Grampy Tom Preschool,Preschool,17:00:00,4,10,2
2022-08-08,Henry Toddlers,Toddler,08:30:00,1,6,2
2022-08-08,Henry Toddlers,Toddler,09:00:00,1,6,2
2022-08-08,Henry Toddlers,Toddler,09:30:00,1,6,2
2022-08-08,Henry Toddlers,Toddler,10:00:00,1,6,2
2022-08-08,Henry Toddlers,Toddler,10:30:00,1,6,2
2022-08-08,Henry Toddlers,Toddler,11:00:00,1,6,2
2022-08-08,Henry Toddlers,Toddler,11:30:00,1,6,2
2022-08-08,Henry Toddlers,Toddler,12:00:00,1,6,2
2022-08-08,Henry Toddlers,Toddler,12:30:00,1,6,2
2022-08-08,Henry Toddlers,Toddler,13:00:00,1,6,2
2022-08-08,Henry Toddlers,Toddler,13:30:00,1,6,2
2022-08-08,Henry Toddlers,Toddler,14:00:00,1,6,2
2022-08-08,Henry Toddlers,Toddler,14:30:00,1,6,2
2022-08-08,Henry Toddlers,Toddler,15:00:00,1,6,2
2022-08-08,Henry Toddlers,Toddler,15:30:00,1,6,2
2022-08-08,Pennie Preschool 1,Preschool,07:00:00,1,10,2
2022-08-08,Pennie Preschool 1,Preschool,07:30:00,2,10,2
2022-08-08,Pennie Preschool 1,Preschool,08:00:00,4,10,2
2022-08-08,Pennie Preschool 1,Preschool,08:30:00,4,10,2
2022-08-08,Pennie Preschool 1,Preschool,09:00:00,4,10,2
2022-08-08,Pennie Preschool 1,Preschool,09:30:00,4,10,2
2022-08-08,Pennie Preschool 1,Preschool,10:00:00,4,10,2
2022-08-08,Pennie Preschool 1,Preschool,10:30:00,4,10,2
2022-08-08,Pennie Preschool 1,Preschool,11:00:00,4,10,2
2022-08-08,Pennie Preschool 1,Preschool,11:30:00,4,10,2
2022-08-08,Pennie Preschool 1,Preschool,12:00:00,3,10,2
2022-08-08,Pennie Preschool 1,Preschool,12:30:00,4,10,2
2022-08-08,Pennie Preschool 1,Preschool,13:00:00,4,10,2
2022-08-08,Pennie Preschool 1,Preschool,13:30:00,4,10,2
2022-08-08,Pennie Preschool 1,Preschool,14:00:00,3,10,2
2022-08-08,Pennie Preschool 1,Preschool,14:30:00,3,10,2
2022-08-08,Pennie Preschool 1,Preschool,15:00:00,3,10,2
2022-08-08,Pennie Preschool 1,Preschool,15:30:00,3,10,2
2022-08-08,Pennie Preschool 1,Preschool,16:00:00,3,10,2
2022-08-08,Pennie Preschool 1,Preschool,16:30:00,3,10,2
2022-08-08,Pennie Preschool 1,Preschool,17:00:00,1,10,2
2022-08-08,Pre-K1,Pre-K,07:30:00,1,12,2
2022-08-08,Pre-K1,Pre-K,08:00:00,4,12,2
2022-08-08,Pre-K1,Pre-K,08:30:00,5,12,2
2022-08-08,Pre-K1,Pre-K,09:00:00,5,12,2
2022-08-08,Pre-K1,Pre-K,09:30:00,5,12,2
2022-08-08,Pre-K1,Pre-K,10:00:00,5,12,2
2022-08-08,Pre-K1,Pre-K,10:30:00,5,12,2
2022-08-08,Pre-K1,Pre-K,11:00:00,5,12,2
2022-08-08,Pre-K1,Pre-K,11:30:00,5,12,2
2022-08-08,Pre-K1,Pre-K,12:00:00,5,12,2
2022-08-08,Pre-K1,Pre-K,12:30:00,5,12,2
2022-08-08,Pre-K1,Pre-K,13:00:00,5,12,2
2022-08-08,Pre-K1,Pre-K,13:30:00,5,12,2
2022-08-08,Pre-K1,Pre-K,14:00:00,5,12,2
2022-08-08,Pre-K1,Pre-K,14:30:00,5,12,2
2022-08-08,Pre-K1,Pre-K,15:00:00,5,12,2
2022-08-08,Pre-K1,Pre-K,15:30:00,5,12,2
2022-08-08,Pre-K1,Pre-K,16:00:00,4,12,2
